"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2019","678.00","678.00","678.00","678.00","-","-0.73%"
"May 16, 2019","683.00","683.00","683.00","683.00","-","-2.01%"
"May 15, 2019","697.00","697.00","697.00","697.00","-","-0.99%"
"May 14, 2019","704.00","704.00","704.00","704.00","-","0.14%"
"May 13, 2019","703.00","703.00","703.00","703.00","-","0.86%"
"May 10, 2019","697.00","697.00","697.00","697.00","-","2.50%"
"May 09, 2019","680.00","680.00","680.00","680.00","-","1.19%"
"May 08, 2019","672.00","672.00","672.00","672.00","-","1.51%"
"May 07, 2019","662.00","662.00","662.00","662.00","-","2.64%"
"May 03, 2019","645.00","645.00","645.00","645.00","-","1.10%"
"May 02, 2019","638.00","638.00","638.00","638.00","-","0.47%"
"May 01, 2019","635.00","635.00","635.00","635.00","-","0.16%"
"Apr 30, 2019","634.00","634.00","634.00","634.00","-","-0.63%"
"Apr 29, 2019","638.00","638.00","638.00","638.00","-","-0.31%"
"Apr 26, 2019","640.00","640.00","640.00","640.00","-","0.79%"
"Apr 25, 2019","635.00","635.00","635.00","635.00","-","-0.16%"
"Apr 24, 2019","636.00","636.00","636.00","636.00","-","-1.24%"
"Apr 23, 2019","644.00","644.00","644.00","644.00","-","-1.38%"
"Apr 18, 2019","653.00","653.00","653.00","653.00","-","0.15%"
"Apr 17, 2019","652.00","652.00","652.00","652.00","-","1.40%"
"Apr 16, 2019","643.00","643.00","643.00","643.00","-","0.63%"
"Apr 15, 2019","639.00","639.00","639.00","639.00","-","0.00%"
"Apr 12, 2019","639.00","639.00","639.00","639.00","-","0.79%"
"Apr 11, 2019","634.00","634.00","634.00","634.00","-","2.26%"
"Apr 10, 2019","620.00","620.00","620.00","620.00","-","0.32%"
"Apr 09, 2019","618.00","618.00","618.00","618.00","-","1.31%"
"Apr 08, 2019","610.00","610.00","610.00","610.00","-","-1.13%"
"Apr 05, 2019","617.00","617.00","617.00","617.00","-","-0.16%"
"Apr 04, 2019","618.00","618.00","618.00","618.00","-","-0.80%"
"Apr 03, 2019","623.00","623.00","623.00","623.00","-","-1.42%"
"Apr 02, 2019","632.00","632.00","632.00","632.00","-","-1.25%"
"Apr 01, 2019","640.00","640.00","640.00","640.00","-","-1.23%"
"Mar 29, 2019","648.00","648.00","648.00","648.00","-","-0.46%"
"Mar 28, 2019","651.00","651.00","651.00","651.00","-","-1.81%"
"Mar 27, 2019","663.00","663.00","663.00","663.00","-","-2.21%"
"Mar 26, 2019","678.00","678.00","678.00","678.00","-","-1.45%"
"Mar 25, 2019","688.00","688.00","688.00","688.00","-","-1.01%"
"Mar 22, 2019","695.00","695.00","695.00","695.00","-","-0.71%"
"Mar 21, 2019","700.00","700.00","700.00","700.00","-","-0.71%"
"Mar 20, 2019","705.00","705.00","705.00","705.00","-","-1.40%"
"Mar 19, 2019","715.00","715.00","715.00","715.00","-","-2.05%"
"Mar 18, 2019","730.00","730.00","730.00","730.00","-","-0.68%"
"Mar 15, 2019","735.00","735.00","735.00","735.00","-","-0.27%"
"Mar 14, 2019","737.00","737.00","737.00","737.00","-","-0.41%"
"Mar 13, 2019","740.00","740.00","740.00","740.00","-","-0.40%"
"Mar 12, 2019","743.00","743.00","743.00","743.00","-","0.81%"
